"","X.1","X","죄종별.2.","X2012","X2012.1","X2012.2","X2012.3","X2012.4","X2012.5","X2012.6","X2013","X2013.1","X2013.2","X2013.3","X2013.4","X2013.5","X2013.6","X2014","X2014.1","X2014.2","X2014.3","X2014.4","X2014.5","X2014.6","X2015","X2015.1","X2015.2","X2015.3","X2015.4","X2015.5","X2015.6","X2016","X2016.1","X2016.2","X2016.3","X2016.4","X2016.5","X2016.6"
"1","1","1","죄종별(2)","남자",NA,"남자","남자","남자","남자","남자","남자","남자","남자","남자","남자","남자","남자","남자","남자","남자","남자","남자","남자","남자","남자","남자","남자","남자","남자","남자","남자","남자","남자","남자","남자","남자","남자","남자"
"2","2","2","죄종별(2)","20세이하","21030세","31040세","41050세","51060세","61070세","71세이상","20세이하","21030세","31040세","41050세","51060세","61070세","71세이상","20세이하","21030세","31040세","41050세","51060세","61070세","71세이상","20세이하","21030세","31040세","41050세","51060세","61070세","71세이상","20세이하","21030세","31040세","41050세","51060세","61070세","71세이상"
"3","3","3","살인","8","46","79","93","85","24","10","10","47","52","75","69","31","16","14","37","68","100","65","40","18","6","41","54","85","72","21","21","7","32","59","87","75","20","17"
"4","4","4","강도","991","801","635","416","172","35","10","663","575","537","378","155","33","10","460","485","436","304","154","42","10","485","396","418","271","174","32","6","391","340","359","251","152","40","9"
"5","5","5","강간","2892","3886","3796","3670","2354","747","294","2387","3827","3856","3926","2698","967","355","2461","3955","3721","4081","2906","1012","441","2271","4260","4074","4217","3195","1244","517","2450","4620","4254","4402","3609","1391","680"
"6","6","6","방화","207","95","193","384","286","46","19","164","109","176","377","294","65","27","170","116","179","387","322","79","28","122","100","170","407","366","92","38","167","75","156","306","330","100","37"
"7","7","7","절도","36778","13508","10245","10752","8378","3009","1245","32686","13819","10786","11102","8750","3275","1468","27034","12927","10288","10650","9187","3791","1860","27608","13993","10978","11336","10549","4640","2511","23900","14561","11278","11326","11653","5846","3335"
"8","8","8","폭행","8282","22168","31170","41965","30015","7589","1747","7714","21452","30760","40650","30660","7808","2028","8214","21891","30320","40231","33115","8965","2449","10106","24550","32477","43307","36697","10662","3116","11970","28301","36337","46310","40676","13194","3830"
"9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10","10","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11","11","11","","2012","2012","2012","2012","2012","2012","2012","2013","2013","2013","2013","2013","2013","2013","2014","2014","2014","2014","2014","2014","2014","2015","2015","2015","2015","2015","2015","2015","2016","2016","2016","2016","2016","2016","2016"
"12","12","12","","여자","여자","여자","여자","여자","여자","여자","여자","여자","여자","여자","여자","여자","여자","여자","여자","여자","여자","여자","여자","여자","여자","여자","여자","여자","여자","여자","여자","여자","여자","여자","여자","여자","여자","여자"
"13","13","13","","20세이하","21030세","31040세","41050세","51060세","61070세","71세이상","20세이하","21030세","31040세","41050세","51060세","61070세","71세이상","20세이하","21030세","31040세","41050세","51060세","61070세","71세이상","20세이하","21030세","31040세","41050세","51060세","61070세","71세이상","20세이하","21030세","31040세","41050세","51060세","61070세","71세이상"
"14","14","14","살인","9","23","28","16","17","6","2","2","13","13","24","14","6","3","16","13","19","27","16","10","4","6","11","21","21","15","7","8","4","17","16","21","14","7","3"
"15","15","15","강도","98","45","32","44","30","10","1","114","29","34","24","29","8","1","74","23","22","22","30","5","1","115","19","17","36","17","4","5","62","20","21","28","18","6","3"
"16","16","16","강간","132","66","43","67","49","12","2","86","58","41","59","58","11","8","65","49","51","80","63","8","0","54","70","63","70","47","4","6","87","89","73","102","49","19","6"
"17","17","17","방화","21","28","26","57","30","6","1","9","28","28","61","37","8","3","14","16","35","60","44","11","5","11","28","40","64","59","14","6","11","30","40","68","60","10","6"
"18","18","18","절도","5237","3167","2876","3731","3568","1416","503","4995","3085","2968","3796","3790","1490","625","3571","2891","2835","3744","4182","1795","857","3467","3114","2964","3906","4615","2228","1215","3379","3473","3374","4228","5212","2934","1841"
"19","19","19","폭행","2247","4226","4657","6976","5274","1262","370","2102","4440","4635","6665","5398","1387","492","1998","4440","4946","6566","5716","1606","540","2521","5653","6132","7632","6569","1936","753","3180","6945","7230","8287","7195","2332","884"
"20","20","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","21","2012","2013","2014","2015","2016","Total","Percentage","Percentage","Percentage",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","10~19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","20~29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","30~39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","40~49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","50~59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","60~69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","70~79",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","31",NA,"2013","2014","2015","2016","2016","Percentage","Percentage",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
